pozisyon,pozisyon_kisa,city,firma,metin,b_sayisi,g_sayisi,sure,urls,Askerlik Durumu:,Company Industry:,Departman:,Eğitim Seviyesi:,Firma Sektörü:,Job Location:,Job Role:,Job Type :,Languages:,Level of education:,Military Status:,Number of vacancies:,Personel Sayısı:,Position Level:,Pozisyon Seviyesi:,Tecrübe:,University Department:,Yabancı Dil:,Years of Experience:,Çalışma Şekli :,Ülke/Şehir:,Üniversite Bölümü:,cluster
Fiyat Araştırma Proje Uzman Yardımcısı,veri analisti,İstanbul(Avr.),Akademetre Research & Strategic Planning,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Ekonometri, İstatistik, Matematik veya Mühendislik bölümlerinden mezun,
Alanında en az 1 yıl iş deneyimine sahip,
Ms Office uygulamalarına özellikle ileri derece MS Excel bilgisi olan,
Tercihen İyi derecede İngilizce bilen
Analitik düşünebilme, iletişim ve sorun çözme becerilerine sahip olma
Öğrenmeye ve gelişime açık
Kendine güveni yüksek, temsil yeteneği yüksek ve etkili sunum yapabilme becerilerine sahip olma,
Erkek adaylar için askerlik hizmetini tamamlamış.
Maslak'a ulaşım problemi olmayan.


İŞ TANIMI
Hizmet kalitesini entelektüel sermayesine ve teknolojik altyapısına dayandıran, Türkiye’nin yerli sermaye ile kurulu en büyük araştırma şirketi olan ve hızla büyümeye devam firmamıza yeni takım arkadaşı arayışımız bulunmaktadır.
Fiyat araştırma raporlarını hazırlamak
Belirlenen kapsam ve şablonlar doğrultusunda zaman planına uygun olarak veri tablolarını hazırlamak, kontrolünü yapmak
Saha uzmanları ve IT ekipleri ile koordineli çalışarak, gelecek ek talepleri zaman planına uygun olarak hazırlamak",50-100,714,13,https://www.kariyer.net/is-ilani/akademetre-research-strategic-planning-fiyat-arastirma-proje-uzman-yardimcisi-2754405,Yapıldı,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Araştırma Hizmetleri,,,,,,,,1,,Eleman,1 - 4 yıl tecrübeli adaylar,,"İngilizce( Okuma : İyi, Yazma : İyi, Konuşma : İyi)",,Sürekli / Tam zamanlı,İstanbul(Avr.),"Ekonometri,İstatistik,İstatistik ve Bilgisayar Bilimleri,Matematik,Matematik Mühendisliği",0
Aktüeryal Raporlama Uzmanı,finans analisti,İstanbul(Avr.)(Beşiktaş),Sektöründe Öncü Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Sigorta ve Bireysel Emeklilik sektöründe öncü olan kurumumuzun Aktüerya Müdürlüğü'ne bağlı olacak şekilde;

Üniversitelerin İstatistik, Aktüerya, Matematik, Bilgisayar veya Endüstri Mühendisliği bölümlerinden mezun,
Alanında en az 2 yıllık iş tecrübesi olan,
İyi derecede SQL bilgisi bulunan ve data analitiğine hakim,
Tercihen C#, C++ kod bilgisi olan,
MS Office programlarını iyi derecede kullanabilen,
Rapor hazırlama  ve  analiz yeteneğine sahip,
Ekip çalışmasına yatkın,
Tercihen İleri seviyede İngilizce bilen,
Analitik düşünebilen,
Yoğun iş temposuna ayak uydurabilecek,

takım arkadaşları arıyoruz.


İŞ TANIMI
Database test süreçlerinin takibi,
Data analitiği ve raporlaması,
Yerel Mevzuata uygun yasal raporlamaların hazırlanması,
Ürün modelleme  çalışmalarına destek verilmesi.",0-50,522,15,https://www.kariyer.net/is-ilani/sektorunde-oncu-firma-aktueryal-raporlama-uzmani-2751077,,,AKtüerya,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Sigortacılık,,,,,,,,Belirtilmemiştir,,,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beşiktaş),,1
Aktüerya Kıdemli Uzmanı,finans analisti,İstanbul(Avr.)(Beşiktaş),Sektöründe Öncü Firma,"GENEL NİTELİKLER VE İŞ TANIMI
Sigorta ve Bireysel Emeklilik sektöründe öncü olan kurumumuzun Aktüerya Müdürlüğü'ne bağlı olacak şekilde;

Üniversitelerin İstatistik, Aktüerya,Matematik veya Endüstri Mühendisliği bölümlerinden mezun,
Aktüerya alanında en az 5 yıllık iş tecrübesi olan,
Tercihen SQL kullanabilen,
MS Office programlarını iyi derecede kullanabilen,
Tercihen Aktüerlik sınavlarında başarıları olan,
Reasürans süreçlerine hakim,
Ürün geliştirme süreçlerinde bilgi sahibi,
Tercihen IFRS17 raporlaması hakkında bilgili,
Rapor hazırlama ve analiz edebilme yeteneğine sahip,
Ekip çalışmasına yatkın,
İleri seviyede İngilizce bilen,
Analitik düşünebilen,
Yoğun iş temposuna ayak uydurabilecek,

takım arkadaşları arıyoruz.


İŞ TANIMI
Yeni ürün geliştirme, ilgili sürecin koordinasyonuna katkı ve ürün ayrıntılarının şirket içerisind aktarılması,
Ürünlerin sistem tanımlamaları ve tanımlamalarına ait geliştirmelerin takibi, testleri ve onayı,
IFRS17 raporlaması ve yerle mevzuat yasal raporlamalarına destek olunması,
Karlılık analizlerinin hazırlanması,
Bütçe çalışmalarına destek olunması,
Reasürans süreçlerinin takibi.",0-50,253,15,https://www.kariyer.net/is-ilani/sektorunde-oncu-firma-aktuerya-kidemli-uzmani-2751014,,,AKtüerya,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Sigortacılık,,,,,,,,Belirtilmemiştir,,,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beşiktaş),,0
Aktüeryal Rezerv Müdür Yardımcısı,finans analisti,İstanbul(Asya)(Kadıköy),HDI SİGORTA A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Aktüerya, İstatistik, Matematik, Mühendislik bölümlerinden mezun,
Sigortacılık sektörü, aktüerya alanında 6-8 yıl tecrübeli,
Çok iyi düzeyde İngilizce bilen,
IFRS konusunda bilgi sahibi,
MS Office programlarına hakim,
İstatistik ve Raporlama programlarını kullanabilen(SAS, ResQ vs.)
Analitik düşünce yapısına sahip, çözüm odaklı, takım çalışmasına yatkın,
Erkek adaylar için, askerlik hizmetini tamamlamış
bir takım arkadaşı aramaktayız.",0-50,218,2,https://www.kariyer.net/is-ilani/hdi-sigorta-a-s-aktueryal-rezerv-mudur-yardimcisi-2762689,"Yapıldı, Muaf, Tecilli",,Aktüerya,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Sigortacılık,,,,,,,,Belirtilmemiştir,,,En az 6 yıl tecrübeli adaylar,,"İngilizce( Okuma : İyi, Yazma : İyi, Konuşma : İyi)",,Sürekli / Tam zamanlı,İstanbul(Asya)(Kadıköy),"Aktüerya,Aktüerya Bilimleri,İstatistik,Matematik,Mühendislik ve Doğa Bilimleri Programları",1
Aktüeryal Rezerv Uzmanı,finans analisti,İstanbul(Asya),HDI SİGORTA A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Aktüerya, İstatistik, Matematik, Mühendislik bölümlerinden mezun,
Sigortacılık sektöründe 3 yıl deneyimli,
MS Office programlarına hakim,
İstatistik ve raporlama programlarını kullanabilen(SAS, ResQ vs.)
İyi düzeyde İngilizce bilen,
Analitik düşünce yapısına sahip, çözüm odaklı, takım çalışmasına yatkın,
Erkek adaylar için, askerlik hizmetini tamamlamış
bir takım arkadaşı aramaktayız.",0-50,361,2,https://www.kariyer.net/is-ilani/hdi-sigorta-a-s-aktueryal-rezerv-uzmani-2762642,"Yapıldı, Muaf, Tecilli",,Aktüerya,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci), Doktora(Mezun)",Sigortacılık,,,,,,,,Belirtilmemiştir,,Uzman,En az 3 yıl tecrübeli adaylar,,"İngilizce( Okuma : İyi, Yazma : İyi, Konuşma : İyi)",,Sürekli / Tam zamanlı,İstanbul(Asya),"Aktüerya,Aktüerya Bilimleri,Endüstri Mühendisliği,İstatistik,Matematik",1
Banka Yetkilisi/Yönetmeni,finans analisti,İstanbul(Avr.)(Beşiktaş),Destek Faktoring A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Şirketimizin kuruluş aşamasındaki iştiraki Destek Yatırım Bankası AŞ nezdinde görevlendirilmek üzere Banka Yasal Raporlama  yetkilisi/Yönetmeni alınacaktır. 
Aranan Nitelikler
·         Üniversitelerin Ekonomi, İşletme, İstatistik, Ekonometri bölümlerinden mezun, 
·         Bankaların Resmi /Yasal  Raporlama alanlarında en az 5 yıl deneyimli,
·         Bilanço ve Tek Düzen Hesap Planı hakkında bilgi sahibi,
·         MS Office uygulamalarına hakim, 
·         Takım çalışmasına yatkın,
·         Erkek adaylar için askerliğini tamamlamış.
·         Tercihen İngilizce Bilen
Görev Tanımı
·         Finansal raporlamaların TCMB ve BDDK  tebliğlerine uygun olarak çeşitli periyotlarda hazırlanarak resmi kurumlara bildirmek,
·         Yasal raporlamanın güncel mevzuata uygun olarak ve mevzuatta belirlenen sürelerde yapılması için gerekli çalışmaları yapmak,
·         Finansal raporların otomatize edilmesi ve buna bağlı projelere destek vermek,
·         İç dış denetim ve yasal otoritelere bilgi akışı sağlamak,
·         Bağımsız denetim faaliyetlerini yürütmek,",0-50,485,0,https://www.kariyer.net/is-ilani/destek-faktoring-a-s-banka-yetkilisi-yonetmeni-2765310,Yapıldı,,Analiz / Araştırma,Üniversite(Mezun),Faktoring,,,,,,,,Belirtilmemiştir,,,En az 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Beşiktaş),,8
Veri Analiz Uzmanı,veri analisti,İstanbul(Asya)(Ümraniye),ASİS OTOMASYON VE AKARYAKIT SİSTEMLERİ A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
ASİS OTOMASYON faaliyetlerine, 1990 yılında bünyesinde IT ve bilişim teknolojileri konusunda hizmet veren bilgisayar firması ile başlamıştır. Mevcut çalışmalarının yanında, akaryakıt sektörü için o dönemlerde sektörde büyük bir eksiklik olan arka ofis yönetim yazılımlarını geliştirmiş ve akaryakıt sektörüne hızlı bir giriş yapmıştır. 2000 yılında ASİS Akaryakıt İstasyon Sistemleri Ltd. Şti. kurulmuş ve akaryakıt sektörüne özelleştirilmiştir.
 
Sektörü ciddi bir şekilde analiz eden ASİS, deneyimli personeli ve sektörel tecrübesi ile otomasyon sistemleri tasarım ve imalatına başlamış ve akaryakıt sektöründe öncü konumuna gelmiştir. %100 yerli bir şirket olan ASİS ‘in hali hazırdaki grup şirketleri, yaklaşık 500 kişiye varan personeli ve sahada 7.000 lokasyona yakın çalışan otomasyon sistemleri bulunmaktadır. 2017 yılı itibari ile 26 ülkeye ihracat yapmaktadır.
-       Üniversitelerin ilgili bölümlerinden mezun (İşletme, İktisat, Maliye, İstatistik, Matematik)
-       MS Office programlarına hakim,
-       İyi derecede bilgisayar bilgisine sahip, 
-       İyi derecede İngilizce bilen,
-       Erkek adaylar için askerliğini tamamlamış, 
-       Anadolu yakasında ikamet eden,
-       Düzgün bir diksiyona sahip,
-       Sorunlara hızlı çözüm geliştirebilen takım arkadaşları arıyoruz.
İŞ TANIMI
-       Asis yazılım programlarını kullanarak, sayısal verilerin analizini yapıp, varsa aralarındaki uyumsuzluğu tespit edecek,
-       Bu tespitler doğrultusunda rapor oluşturacak otomasyon sistemlerinde lider şirketimizde veri analiz uzmanı olarak çalışmak üzere takım arkadaşı aramaktayız.",750-1000,5212,1,https://www.kariyer.net/is-ilani/asis-otomasyon-ve-akaryakit-sistemleri-a-s-veri-analiz-uzmani-1086432,,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun)",Bilişim,,,,,,,,Belirtilmemiştir,,Uzman,En az 1 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Asya)(Ümraniye),,5
Raporlama Uzmanı,veri analisti,İstanbul(Avr.)(Bahçelievler),Moda Selvim,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER 
Üniversitelerin ilgili bölümlerinden (İşletme, İktisat, İstatistik, Finans, Ekonometri vb.) mezun,
Raporlama konusunda en az 2 yıl deneyimli,
Tercihen T-soft ve NebimV3 ERP programlarına hakim
E-Ticaret sektöründe deneyim sahibi,
İleri derecede Excel ve Word kullanabilen,
Analitik ve matematiksel düşünme yönü kuvvetli olan,
Zaman yönetimi, takip, planlama ve organizasyon yeteneği olan, 
Finansal bilgiler ve diğer departman verilerinin nasıl yapılandırılacağını analiz edebilecek olan”RAPORLAMA UZMANI” aranmaktadır.
Bahçelievler-Yenibosna'ya ulaşım sorunu olmayan
İŞ TANIMI
Yöneticisinin talep ettiği raporların, sunumların hazırlanması ve destek verilmesini sağlamak,
Şirkette sorumluluk alanıolduğu konularda bütçe ve performans raporlaması yapmak
E-ticaret için belirlenen hedefler doğrultusunda sonuç ve aksiyon planları oluşturmak, 
Aylık ve dönemsel raporlar hazırlamak,
Bilişim teknolojileri departmanı ve proje yöneticileri ile iş birliğinde bulunmak,
Şirketlerin kalite sistemini en iyi şekilde korumak ve hedefe ulaşmasını sağlamak için çalışmalar yapabilmek
Şirkette sorumluluk alanıolduğu konularda bütçe ve performans raporlaması yapmak,
Şirketin Swot benzeri analitik yöntemler ile rakamsal analizini yapmak,
Verimlilik analizleri oluşturmak,",0-50,494,6,https://www.kariyer.net/is-ilani/moda-selvim-raporlama-uzmani-2760812,,,Analiz / Araştırma,"Üniversite(Mezun), Yüksek Lisans(Mezun), Doktora(Mezun)",Hizmet,,,,,,,,2,,Uzman,2 - 5 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Avr.)(Bahçelievler),,8
Ürün Maliyet Analisti,veri analisti,İstanbul(Asya)(Tuzla),Arhan Grup Talaşlı İmalat San ve Tic.A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
GENEL NİTELİKLER
Üniversitelerin tercihen Endüstri Mühendisliği, İşletme, Ekonomi, İstatistik bölümlerinden mezun,
Tercihen Mikro programını iyi düzeyde kullanabilen,
Ofis programları özellikle iyi derecede Excel bilgisine sahip,
Verileri analiz etme, raporlama, yorumlama ve sunum becerisi gelişmiş,
Problem çözme, sorgulama ve araştırma yeteneğine sahip,
Analitik düşünebilen, detaylara dikkat eden, ekip çalışmasına yatkın,
İletişim yönü kuvvetli, takipçi ve sonuç odaklı


İŞ TANIMI
Tüm ürün maliyetlerinin belirlenen formatta hazırlanması,
Yeni ürün maliyet çalışmalarının yapılması,
İlgili departmanlar ile maliyetlendirme üzerine koordineli çalışma gerçekleştirilmesi,
Sistemde yer alan ürün maliyetlerinin, güncel üretim verilerine göre kontrol edilmesi,
Sahada proses analizi yapılması,
Maliyet sapmalarının yöneticiye rapor edilmesi sürecinde aktif olarak görev alınması,
Maliyetlendirmede gerçekleşen değişikliklerin (hammadde, fiyat, proses değişikliği, üretim adet değişikliği) takibi ve raporlamasını hazırlanması,
Satıştaki ürünlerin fiyat hareketlerini kontrol ederek, piyasa araştırmasının yapılması,
Her dönem satılan ürün maliyetlerini tespit ederek kar-zarar hesaplamasına katkı sağlanması,
Ürün maliyet analizlerinin  sistematik olarak takibinin yapılması,  sisteminin kurulması ve sürekliliğinin sağlanması 

İstanbul Anadolu Yakası Tuzla- Kartal -Pendik- Maltepe -Sultanbeyli / Şekerpınar  bölgelerinde ikamet eden.",0-50,369,8,https://www.kariyer.net/is-ilani/arhan-grup-talasli-imalat-san-ve-tic-a-s-urun-maliyet-analisti-2757431,Yapıldı,,Analiz / Araştırma,"Ön Lisans(Mezun), Üniversite(Mezun)",Üretim / Endüstriyel Ürünler,,,,,,,,Belirtilmemiştir,,Uzman,En az 3 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Asya)(Tuzla),,8
Raporlama Uzmanı,veri analisti,İstanbul(Asya),Reel Alacak Yönetim A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Reel Alacak Yönetim A.Ş, 2016 yılından itibaren kurumlar ve bankalardan devir aldığı yasal sahibi olduğu alacakları, borçlularla karşılıklı olarak güven ile uzlaşarak, uygun ödeme planlarıyla tahsilatlarını sağlamak amacıyla faaliyet göstermektedir. Büyüyen organizasyonumuz için İstanbul-Maltepe lokasyonunda bulunan ofisimizde görevlendirilecek aşağıdaki nitelikleri taşıyan 'Raporlama Uzmanı' takım arkadaşı aramaktayız.
Üniversitelerin İstatistik, Ekonometri, İktisat ya da Endüstri Mühendisliği bölümlerinden mezun,
MS Office programlarını çok iyi kullanabilen ( İleri seviyede excel bilgisi olan),
Bütçe ve raporlama alanında en az 2 yıl tecrübesi bulunan,
Diksiyonu düzgün, temsil yeteneğine sahip, analitik yönü kuvvetli,
Profesyonel çalışma ilişkilerini benimsemiş, yeniliklere ve gelişime açık,
İletişim becerileri yüksek, ekip çalışmasına yatkın, İstanbul Anadolu Yakasında ikamet eden, Raporlama Uzmanı aramaktayız.

İŞ TANIMI 
Raporlama, yorumlama ve sunum becerileri yüksek,
Farklı projeler için rapor hazırlamak ve operasyon süreci hakkında yöneticilere bilgi aktarmak,
Sektör dinamiklerini takip etmek ve analizini yapmak,
Şirketin tüm birimleriyle koordineli bir şekilde çalışarak şirket stratejilerine fayda sağlayacak veriler oluşturmak,
Mevcut modelleri iyileştirmek ve yeni öneriler araştırarak ekibe destek olmak,
Verileri işlemek ve bunları grafik, rapor ve diğer sunum belgelerine dönüştürmek,
İlgili yönetim birimlerine rapor sunumu gerçekleştirmek,
Firma ihtiyaçlarına yönelik olarak tercihen SQL veri tabanı üzerinden raporlamalar geliştirmek.",500-750,3350,1,https://www.kariyer.net/is-ilani/reel-alacak-yonetim-a-s-raporlama-uzmani-2682453,,,Analiz / Araştırma,"Ön Lisans(Mezun), Üniversite(Öğrenci), Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun)",Çağrı Merkezi Hizmetleri,,,,,,,,Belirtilmemiştir,,,En az 2 yıl tecrübeli adaylar,,,,Sürekli / Tam zamanlı,İstanbul(Asya),,1
