Tecrübe,Askerlik-Durumu,Departman,pozisyon,sehir,firma,metin,b_sayisi,g_sayisi,sure
5 - 15 yıl tecrübeli adaylar,Yapıldı,Kalite,Kalite Kontrol Yöneticisi / Yönetmeni,Ankara(Akyurt),5K YÜZEY TEKNOLOJİ.ORMAN ÜRÜNL.MOB.SAN.VE TİC.A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI

Türkiye'de Orman Ürünleri ve Mobilya Sektöründe Ankara/Akyurt ‘ta bulunan fabrikasında LAMIGLOSS markalı üretmiş olduğu ürünlerde  yüksek teknoloji kullanarak, en kaliteliyi üretme ve sektörünün kalite lideri olma yolunu amaç edinen şirketimiz Yönetim Danışmanımız Dr. M. Naci ÇUHACI kolaylaştırıcılığında yeniden yapılanmaktadır. Bu kapsamda gelişen ve büyüyen organizasyonumuzda görev alacak ve aşağıda kısa iş tanımı ile yeterlilikleri tanımlanan Kalite Kontrol Yöneticisi istihdam edilecektir.

Kısa iş Tanımı
Kalite Kontrol Yöneticisi; Lak ve Pres üretim hatları kalite kontrol işlemlerini takip etmek, gerektiğinde müşteri şikayet ve önerileri için ziyaretlerde bulunmak, tedarikçi ziyaretlerinde bulunmak, ilgili kalite kontrol ve test cihazlarını kullanmak, kalite takip veri dosyalarını oluşturmak, gerektiğinde üretime nezaret etmek, üretimle ilgili ArGe faaliyetlerinde bulunmak, kalite güvence sistemi işlemlerini yapmak, çevre danışmanı ile birlikte çevre mevzuatı ile ilgili rutin işlemleri ve takipleri yerine getirmek.

Yeterlilikler
ÜniversitelerinKimya, Kimya Mühendisliği,  Fizik Mühendisliği, Fizik Lisans  ya da Kimya Teknolojisi ÖN Lisans  mezunu olmak.
Tercihen  UV KÜRLENMELİ (Ultraviyole Kürlenmeli) sistemler veya FOTOKİMYA KALİTE Kontrol  konusunda tecrübeli
Daha önce ÜRETİM tesislerinin kalite-kontrol bölümlerinde görev almış
Üretim sürecinin her aşamasındaki (Girdi, Proses, Final) kontrol noktalarının etkinliğini geliştirecek bilgi ve deneyime sahip olma
ISO 9001 KYS belgelendirilme, tetkik, takip vs. ile ilgili bilgi, birikim ve deneyime sahip olma
Ölçme Tekniği, Kalibrasyon, Deney, Test, giriş, proses ve son kontrol konularında deneyimli
Kalite iyileştirme, proses iyileştirme projelerinde ekip üyesi ve/veya proje yürütücüsü olarak yer almak ve raporlamak
ERP - MS Office programını iyi derecede kullanabilme
İyi derecede İngilizce bilen
Stratejik Yönetim, Proje Yönetimi bilgisi
Planlama, Analiz ve Raporlama becerisi yüksek
Sunum becerisi ve temsil yeteneği yüksek
Problem Çözme Teknikleri
İstatistik ve Raporlama 
Toplantı ve Zaman yönetimi
Eğitim formasyonu ve İnsan psikolojisi bilgisi
Sürücü ehliyeti olan ve aktif araç kullanabilen      
Erkek adaylar için askerlik görevini tamamlamış
Ankara’da ikamet ya da ikamet edebilme",200-300,2635,30
En çok 10 yıl tecrübeli adaylar,"Yapıldı, Muaf, Tecilli",Bilgi İşlem,YAZILIM DESTEK,"Kocaeli(Gebze), İstanbul(Asya)",Novosoft,"GENEL NİTELİKLER VE İŞ TANIMI
OT/VT sektöründe uzun yıllardır hizmet veren firmamızın, üretmiş olduğu Cubic WMS Depo Yönetim Sistemi'nin kullanıcı eğitimleri ve yazılım destek hizmetlerinde görevlendirilmek üzere, aşağıdaki özelliklere sahip takım arkadaşları arıyoruz:
Yönetim Bilişim Sistemleri, Bilgisayar Programcılığı, Öğretmenliği ya da Matematik, İstatistik gibi ilgili bölümlerden mezun,
1-3 yıl tecrübeli,
Erkek adaylar için askerlik hizmetini yapmış ya da en az 2 yıl tecilli,
B tipi sürücü belgesine sahip, trafik tecrübesi olan,
Microsoft Windows ve MS SQL Server tecrübesi olan,
Hızlı iletişim kurabilen, dinamik, diksiyonu düzgün,
İnsan ilişkileri kuvvetli, takım çalışmasına yatkın,
Seyahat engeli olmayan,
Esnek çalışma saatlerinde görev alabilecek.


İŞ TANIMI
Geliştirilen uygulamaların müşteri ortamında tam ve doğru çalışmasını sağlamak,
Fonksiyonellik, kapasite, performans, güvenlik gibi özellikleri dikkate alarak gerekli test planını hazırlayıp uygulamak,
Yazılım ürünlerimizin kurulumu, eğitimi, teknik desteği, dokümantasyonu, raporlarının geliştirilmesini sağlamak,
Kuruluş sonrası telefon, modem veya yerinde destek hizmetlerinin vermek,",200-300,1502,20
Tecrübeli ya da tecrübesiz adaylar,NaN,Mühendislik,Yazılım Geliştirme Mühendisi,Kocaeli,Kent Kart Ege Elektronik San. ve Tic. A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin ilgili bölümlerinden (bilgisayar mühendisliği, elektrik ve elektronik mühendisliği, yazılım mühendisliği, yönetim bilişim sistemleri, matematik, istatistik vb.) mezun olan,
·İyi derecede ingilizce bilen,
·Dokümantasyon yönetimi konusunda deneyimli olan,
·Analitik problem çözme yeteneğine sahip olan,
·Sonuç odaklı çalışma anlayışına sahip olan,
·Takım çalışmasına uyumlu olan,
·Yeni teknolojileri takip eden ve kendisini sürekli geliştiren,
·Kocaeli’de ikamet eden.

Teknik Nitelikler:
·Yazılım mimari gereksinimlerinin belirlenmesi, tasarım, geliştirme ve alt yapının teknolojik gelişmelere uyarlanması konusunda tecrübe sahibi olan,
·Gömülü yazılımlar hakkında tecrübesi olan,
·Makine Öğrenmesi / Derin Öğrenme için veri hazırlanması, sınıflandırması, model eğitilmesi ve test edilmesi konularında en az 2 yıl tecrübeli olan,
·Görüntü ve Video İşleme alanlarında tecrübe sahibi olan,
·Yüz bulma, yüz tanıma, nesne tanıma, sınıflandırma ve takibi konularına hakim olan,
·Linux tabanlı işletim sistemleri hakkında bilgi sahibi
·C,C++, Python,R dillerinden en az birine hakim olan,
·IOT, Raspberry, Arduino ve benzeri platformlar hakkında bilgi sahibi olan,
·RFID, NFC, QR Code, Bluetooth teknolojileri ve entegrasyonları konusunda çalışmış olan adaylar.",500-750,4555,88
En az 5 yıl tecrübeli adaylar,NaN,Finans,Uluslararası Rap. ve Konsolidasyon Yetkilisi/Yön.,İstanbul(Avr.),DENİZBANK A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI

• Üniversitelerin Ekonomi, İşletme, İstatistik, Ekonometri vb. bölümlerinden mezun,
• Denetim firmalarında veya finansal kurumların IFRS raporlama/konsolidasyon bölümlerinde en az 5 yıl deneyimli,
• İyi derecede İngilizce bilen,
• MS Office ve konsolidasyon uygulamalarında deneyimli,
• Erkek adaylar için askerliğini tamamlamış veya minimum 2 yıl tecilli.

İŞ TANIMI
• Finansal raporların BDDK ve IFRS düzenlemelerine uygun olarak periyodik bazda hazırlanması.
• Finansal raporların otomatize edilmesi ve buna bağlı projelere destek verilmesi.
• İç-dış denetimlerde bilgi akışı sağlanması.",1000-1500,14413,3
En az 3 yıl tecrübeli adaylar,Yapıldı,Finans,Bütçe ve Planlama Uzmanı,"İstanbul(Avr.), İstanbul(Asya)",Randstad Türkiye,"GENEL NİTELİKLER VE İŞ TANIMI
Danışmanlığını yürütmekte olduğumuz Bankacılık sektöründe faaliyet göstermekte olan firmamız için  'Bütçe ve Planlama Uzmanı' arayışımız bulunmaktadır.
İŞ TANIMI
Yıllık Gelir / Gider  Bütçesinin hazırlanması, 
Finansal Projeksiyon ve dönemlik tahminlerin oluşturulması, 
 Günlük MIS Bilanço & Kar/Zarar Raporlarının hazırlanması ve kontrolü ve analizi
Haftalık-Aylık  Aktif / Pasif Komitesi toplantıları için  raporların hazırlanması 
Aylık  temel performans göstergeleri raporlarının hazırlanması, hedef gerçekleşmelerin analizi 
Aylık Yönetim Kurulu için finansal veri ve raporların hazırlanması 
Bütçe ve gerçekleşme  karşılaştırmalarının yapılması, analiz edilmesi ve raporlanması.
Sektörel gelişmelerin yakından takip edilmesi, halka açık bankalar ile karşılaştırmalı olarak hisse performans, finansal performans analiz çalışmalarının yürütülmesi, 
Yatırımcı ilişkileri sunumları ve raporlarının hazırlanmasına, üçer aylık mali tablo yayınlama sürecinin koordinasyonunu destek sağlanması 

GENEL NİTELİKLER
Üniversitelerin İşletme, İktisat, Ekonometri, İstatistik  vb. bölümlerinden mezun,
Bütçe Raporlama, Finansal Kontrol veya  Denetim alanında en az 3 yıl deneyimli,
MS Office uygulamalarına hâkim
Tercihen ERP’lerin Bütçe modüllerini kullanmış,
İyi derecede İngilizce bilen,
Sözlü ve yazılı iletişim becerisi kuvvetli,
Takım çalışmasına yatkın, analitik düşünce yeteneğine sahip, öğrenmeye açık ve sorumluluk üstlenmeye hazır. ",100-200,813,12
3 - 10 yıl tecrübeli adaylar,Yapıldı,Bilgi Teknolojileri / IT,Veri Ambarı ve İş Zekası Uzmanı,İstanbul(Asya)(Sancaktepe),Martaş Otomotiv,"GENEL NİTELİKLER VE İŞ TANIMI
Otomotiv yedek parça sektöründe 40 yıldır toptancı olarak faaliyet gösteren, sektörün öncüsü konumunda olan şirketimizin Bilgi Teknolojileri Müdürlüğü Departmanı bünyesinde görevlendirilmek üzere;
·        Üniversitelerin İstatistik, Endüstri Mühendisliği, vb. bölümlerden mezun,
·        Transact SQL ve/veya PL/SQL kullanmış,
·        Veriambarı modelleme çalışmalarında bulunmuş,
·        ETL kapsamında kodlama yapmış,
·        SQL Tuning konusunda bilgili,
·        Veri entegrasyon araçları (Tercihen SSIS) konusunda deneyimli,
·        Veritabanı tabloları ve ilişkisel mimari konusunda bilgili/deneyimli,
·        Tercihen Qlik Sense olmak üzere Qlik View, Power BI, Business Object, vb. gibi iş zekası araçlarından en az birisinde deneyim sahibi,
.       Tercihen veri analitiği, yapay zeka, makine öğrenmesi gibi konularında literatür hakkında bilgi sahibi olan, olmasa bile ilgili konularda araştırmacı, öğrenme isteği olan ve sürekli gelişme önem veren, 
·        Raporlama ve analiz alanında, kurumsal şirketlerde, en az 3 yıl tecrübeli,
·        Hazırladığı raporların Üst Yönetim sunumlarına dönüştürebilecek düzeyde prezantasyon bilgi ve deneyimi olan,
·        MS Office (Özellikle excel ve powerpoint) uygulamalarını çok iyi düzeyde kullanabilen,
·        Veri analizi, sunum, iletişim becerileri güçlü,
·        Analitik düşünme yeteneğine sahip, analiz etme ve problem çözme konusunda yetenekli, sonuç ve çözüm odaklı,
·        İletişim becerileri güçlü,
·        Erkek adaylar için askerlik hizmetini tamamlamış

İŞ TANIMI
·        İş ihtiyaçlarına göre gelen rapor isteklerinin analiz edilmesi, en uygun raporlama model çözümlerine karar verilmesi, hatasız ve zamanında Qlik sense yada diğer iş zekası platformu üzerinde yapılacak uyarlama, geliştirme ve görselleştirme çalışmaları ile hayata geçirilmesi, devreye alınan raporlama hizmetinin sürekliliğinin sağlanması,
·        Raporlama projeleri için uygulanabilir ve yönetilebilir proje planlarının hazırlanması ve bu planlara uygun şekilde iş ve veri analizi, rapor altyapısı geliştirme, önyüz tasarımı, test ve yayınlanma aşamalarının proje adımlarına uygun olarak yürütülmesi,
·        Düzenli veri aktarımının yapılması, güncelliğinin sağlanması, kesintisiz çalışmasının ve altyapının sürekliliğinin sağlanması,
·        Raporlarla ve raporlama ortamıyla ilgili eğitimlerin verilmesi,",50-100,876,14
5 - 15 yıl tecrübeli adaylar,"Yapıldı, Tecilli",Planlama,Planlama Uzmanı,İstanbul(Avr.)(Bahçelievler),AVVA MAĞAZACILIK A.Ş,"GENEL NİTELİKLER VE İŞ TANIMI
Üniversitelerin Matematik, İstatistik, Ekonometri veya Endüstri Mühendisliği bölümlerinden mezun
Kategori yönetimi, merchandising, sezon öncesi ve sezon içi planlama, talep tahmini vb. süreçlere hakim,
Analitik bakış açısına sahip, geleceğe yönelik vizyon sahibi,
İyi derecede İngilizce bilen,
İleri düzeyde MS Excel tecrübesi olan,
Seyahat engeli olmayan,
Perakende en iyi uygulamalarını öğrenerek kendine ve kariyerine yatırım yapmak isteyen,
Askerlik ile ilişkisi olmayan,

Perakende sektöründe yer alan firmamızın Avrupa Yakasındaki Merkez Ofisinde görevlendirilmek üzere ""Planlama Uzmanı"" pozisyonunda çalışma arkadaşı arıyoruz.

İŞ TANIMI
Sorumlu olduğu ürün gruplarında doğru miktarda ürünün, doğru dönemde, doğru fiyatta yer alabilmesi için bütçelemesini planlanması,
Ürün-mağaza satış ve stok performanslarının analiz edilmesi, mağaza yerleşim ve kapasite planlarının değerlendirilmesi,
Planlarının gerçekleşme takibi ve kontrolünün yapılması,
Ürünlerin satış-stok performansı takibinin yapılması, gelecek dönem satış potansiyellerinin değerlendirilmesi,
Haftalık düzenli raporların oluşturulması,
Sipariş durumlarının düzenli olarak takip edilmesi,
Satış ve sevkiyat bütçelerinin oluşturulması,
Ürünlerin stok seviyelerine göre gereken tüm planlama ve aksiyonların hızlı ve doğru bir şekilde alınıp gerçekleştirilmesi,
 Sezon öncesinde mağaza ve alt kategori bazında oluşturulan aylık ve haftalık planların, sezon içi planlama  döneminde gerçekleştirilmesinin sağlanması.",1500-2000,7790,77
2 - 25 yıl tecrübeli adaylar,"Yapıldı, Muaf",AR-GE,Yazılım Destek Uzmanı,İstanbul(Avr.)(Başakşehir),TALENTSYS,"GENEL NİTELİKLER VE İŞ TANIMI
İş Tanımı
TALENTSYS 1990 yılından itibaren insan kaynakları yönetimine yardımcı olmak üzere teknoloji çözümleri üretmekte ve 30 yıldır her sektörden Türkiye’nin önde gelen kuruluşlarına hizmet vermektedir.
Müşterilere ürünler ile ilgili telefon ile ve yerinde uygulama desteği vermek
İletilen talep ve çağrıları inceleyerek analiz etmek, gerekli aksiyonu almak ve müşterileri bilgilendirmek
Proje kapsamında yer alan yazılımların kurulum, uyarlama ve eğitim fazlarında görev almak
Ek yazılım ihtiyaçlarını tespit ederek yazılım geliştirme ve proje yönetimi ekipleri ile düzenli olarak paylaşmak
Geliştirilen ürünlerin test aşamasında görev almak
Tespit edilen sorunları düzenli olarak gruplamak, raporlamak ve yazılım ekibini bilgilendirmek

 Aranan Temel Nitelikler
Bilgisayar Programcılığı, İstatistik, Bilgisayar Bilimleri, Matematik, Bilgisayar Teknolojisi ve Bilişim Sistemleri, Endüstri Mühendisliği, İşletme veya İktisat Fakültelerinden mezun,
Tercihen daha önce insan kaynakları uygulamaları üzerine çalışmış,
İyi düzeyde MS Office ve SQL bilgisi olan,
Analitik yeteneği yüksek,
Yazılı ve sözlü iletişimi güçlü,
Ekip çalışmasına yatkın,
Sonuç odaklı,
İngilizce bilen,
Tercihen 2 yıl deneyimli,
Erkek adaylar için askerlik hizmetini tamamlamış",300-500,2917,56
2 - 5 yıl tecrübeli adaylar,Yapıldı,Finans,Finansal Kontrolör,İstanbul(Avr.)(Beyoğlu),DEHA TECH MAKİNA SANAYİ VE TİCARET A.Ş.,"GENEL NİTELİKLER VE İŞ TANIMI
Aranan Nitelikler,
24-34 yaş aralığında
En az lisans mezunu tercihen İktisat,Maliye,İstatistik,İşletme
Maliyet Muhasebesi, Bütçe Raporlama, Kontrol alanlarında tecrübe sahibi
Mikro başta olmak üzere iyi düzeyde  ERP,MRP bilgisi
MS Office programlarını etkin kullanabilen,
Raporlama ve analiz etme yönü güçlü,
İletişim becerileri güçlü ve ekip çalışmasına yatkın,
IFRS Raporlama konusunda tecrübe sahibi,
Çok iyi derecede İngilizce bilen,
Erkek adaylar için askerlikle ilişkisi olmayan,
Problem çözme ve analitik düşünce yapısına sahip,
Süreç ve sonuç odaklı,
Masraf yeri ve masraf merkezi yapısı bütçe ve raporlama süreçleri konusunda bilgi sahibi,
İşin Tanımı,
Muhasebe kayıtlarının eksiksiz ve doğru olması için gerekli finansal kontrol süreçlerini yürütmek, gerekli düzeltmeleri yaptırmak,yapmak
Aylık yönetim raporlarının hazırlanması süreçlerinde yer almak,
Yıllık ve çeyrek bazlı bütçe hazırlamak ve gerekli revizyonları yapmak,
Bütçe-gerçekleşen karşılaştırmalarını içeren finansal raporları hazırlamak, yorumlamak ve sunmak,
Bütçe sapmalarının analiz edilmesi ve sorumlu birimler ile birlikte geliştirici aksiyonların alınmasını sağlamak,
Bağımsız denetim çalışmalarında denetim ekibine destek olmak ve aylık IFRS raporlarını hazırlamak,
Yasal defterler ve yönetim hesapları arasında mütabakat hazırlıklarına destek olmak",100-200,1126,18
5 - 10 yıl tecrübeli adaylar,"Yapıldı, Muaf",Pazarlama,Stratejik Pazarlama Uzmanı,İstanbul(Asya)(Sancaktepe),Teksan Jeneratör,"GENEL NİTELİKLER VE İŞ TANIMI
Sektöründe lider konumda olan firmamızın Pazarlama Direktörlüğünde istihdam edilmek üzere;
Üniversitelerin Matematik, İstatistik, Endüstri/Elektrik/Makine Mühendisliği Bölümlerinden mezun,
Alanında en az 5 yıl deneyim sahibi,
Raporlama, istatistik, veri analizi ve sunum yapma yeteneğine sahip olan,
Ekip çalışmasına yatkın, iletişim yeteneği gelişmiş,
Analitik düşünebilen, problem çözme ve iş takibi becerisine sahip,
İleri seviyede İngilizce dil bilgisine sahip,
MS Office programlarını iyi düzeyde kullanabilen,
Erkek adaylar için askerlik görevini tamamlamış,
Seyahat engeli olmayan,
İstanbul Anadolu Yakasında ikamet eden ve/veya edebilecek olan ""Stratejik Pazarlama Uzmanı"" arayışımız mevcuttur.

İŞİN TANIMI
Şirketin orta/uzun vadeli stratejik planının ve hedeflerinin oluşturulması sürecinin koordinasyonuna destek vermek ve katkıda bulunmak,
Proje bazlı analiz, modelleme ve değerleme çalışmaları ile şirket üst yönetiminin karar almasına yönelik bilgi desteği sağlamak,
Şirket için katma değer yaratabilecek yenilikleri araştırmak ve bu doğrultuda detaylı analiz ile fizibilite çalışmalarını yapmak.
Ürün ve müşteri segmenti bazında detaylı satış/karlılık/hizmet verme/maliyet analizlerinin gerçekleştirilmesi ve iyileştirme alanlarının belirlenerek raporlanması,
Faaliyette bulunulan tüm ülke ve segmentler bazında bütçe çalışmalarının yürütülmesi, analizlerle ulusal ve uluslararası performansın takip edilmesi,
Stratejilerin yönlendirilmesi için ürün ve müşteri analizlerinin gerçekleştirilmesi,
Pazarlama stratejilerine yönelik pazar ve ürün analizlerinin yapılması,
Fiyatlama ve ürün analizleri konusunda B2B platformuna destek verilmesi ve
Rakiplerin pazardaki davranışlarını inceleyerek rakip/fiyat/bütçe fiili analizleri ve gelecek öngörülerinin hesaplanması.",300-500,3586,19
