Kategori: Tüm kategoriler

Hafta,SPSS: (Dünya Genelinde),SAS Institute: (Dünya Genelinde)
2016-07-17,64,65
2016-07-24,64,62
2016-07-31,62,61
2016-08-07,63,59
2016-08-14,62,58
2016-08-21,65,58
2016-08-28,64,60
2016-09-04,65,61
2016-09-11,63,64
2016-09-18,70,63
2016-09-25,74,66
2016-10-02,76,65
2016-10-09,82,67
2016-10-16,82,68
2016-10-23,80,64
2016-10-30,80,67
2016-11-06,86,64
2016-11-13,89,70
2016-11-20,90,62
2016-11-27,97,60
2016-12-04,95,61
2016-12-11,89,53
2016-12-18,70,46
2016-12-25,52,33
2017-01-01,67,41
2017-01-08,78,54
2017-01-15,74,60
2017-01-22,70,61
2017-01-29,73,59
2017-02-05,74,61
2017-02-12,75,65
2017-02-19,80,59
2017-02-26,83,66
2017-03-05,89,63
2017-03-12,87,62
2017-03-19,90,63
2017-03-26,94,58
2017-04-02,92,62
2017-04-09,89,60
2017-04-16,93,63
2017-04-23,100,63
2017-04-30,95,58
2017-05-07,94,60
2017-05-14,89,59
2017-05-21,85,53
2017-05-28,78,50
2017-06-04,81,60
2017-06-11,74,55
2017-06-18,67,52
2017-06-25,55,56
2017-07-02,61,46
2017-07-09,64,55
2017-07-16,63,55
2017-07-23,59,58
2017-07-30,60,53
2017-08-06,57,49
2017-08-13,58,53
2017-08-20,57,52
2017-08-27,54,53
2017-09-03,58,52
2017-09-10,65,57
2017-09-17,62,60
2017-09-24,65,56
2017-10-01,63,57
2017-10-08,72,58
2017-10-15,72,54
2017-10-22,72,56
2017-10-29,71,57
2017-11-05,75,56
2017-11-12,84,60
2017-11-19,78,46
2017-11-26,84,56
2017-12-03,87,56
2017-12-10,86,49
2017-12-17,65,45
2017-12-24,50,26
2017-12-31,53,39
2018-01-07,70,46
2018-01-14,65,54
2018-01-21,66,53
2018-01-28,64,56
2018-02-04,68,57
2018-02-11,64,58
2018-02-18,65,56
2018-02-25,68,56
2018-03-04,74,56
2018-03-11,74,54
2018-03-18,81,55
2018-03-25,72,57
2018-04-01,70,51
2018-04-08,84,57
2018-04-15,88,54
2018-04-22,85,59
2018-04-29,76,47
2018-05-06,83,50
2018-05-13,78,54
2018-05-20,79,50
2018-05-27,70,49
2018-06-03,72,52
2018-06-10,60,48
2018-06-17,62,59
2018-06-24,58,47
2018-07-01,60,41
2018-07-08,60,53
2018-07-15,57,48
2018-07-22,57,48
2018-07-29,50,50
2018-08-05,54,48
2018-08-12,51,47
2018-08-19,47,48
2018-08-26,51,47
2018-09-02,55,48
2018-09-09,55,48
2018-09-16,58,50
2018-09-23,63,51
2018-09-30,64,56
2018-10-07,61,50
2018-10-14,67,49
2018-10-21,65,49
2018-10-28,63,50
2018-11-04,69,44
2018-11-11,73,50
2018-11-18,68,42
2018-11-25,76,50
2018-12-02,76,51
